experiment_id,lambda_joint_soft_group,decoder_name,cohort,metric_name,metric_value
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,AUROC_grade_ge2,0.7013845532336846
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,AUROC_grade_ge2,0.9476506639427987
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,AUROC_grade_ge2,0.6262062440870387
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,AUROC_grade_ge2,0.636231884057971
grandBatch128,joint_ce_on,decoder_non_qwk,internal,AUROC_grade_ge2,0.6878755083635374
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,AUROC_grade_ge2,0.6961861481822366
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,AUROC_grade_ge2,0.7013845532336846
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hebei,AUROC_grade_ge2,0.9476506639427987
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL,AUROC_grade_ge2,0.6262062440870387
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,AUROC_grade_ge2,0.636231884057971
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,internal,AUROC_grade_ge2,0.6878755083635374
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan,AUROC_grade_ge2,0.6961861481822366
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan_have_bmi,AUROC_grade_ge2,0.7013845532336846
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hebei,AUROC_grade_ge2,0.9476506639427987
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL,AUROC_grade_ge2,0.6262062440870387
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL_have_bmi,AUROC_grade_ge2,0.636231884057971
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,internal,AUROC_grade_ge2,0.6878755083635374
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,handan,AUROC_grade_ge2,0.7041244822825588
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,handan_have_bmi,AUROC_grade_ge2,0.711447353924125
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hebei,AUROC_grade_ge2,0.9530132788559754
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL,AUROC_grade_ge2,0.6338694418164617
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL_have_bmi,AUROC_grade_ge2,0.6403567447045708
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,internal,AUROC_grade_ge2,0.6773032484217333
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan,AUROC_grade_ge2,0.7041244822825588
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan_have_bmi,AUROC_grade_ge2,0.711447353924125
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hebei,AUROC_grade_ge2,0.9530132788559754
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hfirstALL,AUROC_grade_ge2,0.6338694418164617
